training_seed,seed,score,max_tile,moves,corner_occupancy,snake_quality
42,200000,1416,128,143,0.0,0.8032003512796059
42,200001,1220,128,137,5.109489051094891,0.8341100615558498
42,200002,2204,128,207,1.4492753623188406,0.8190054610995618
42,200003,2468,128,230,6.956521739130435,0.8131676729820547
42,200004,3340,256,281,0.7117437722419929,0.8496274564826503
42,200005,2500,128,236,0.0,0.8213825385491492
42,200006,1464,128,150,0.0,0.7755661904723503
42,200007,3276,256,260,0.0,0.845216657346001
42,200008,1780,128,184,1.0869565217391304,0.8197386982289939
42,200009,2012,128,196,3.5714285714285716,0.7974322750914548
42,200010,1252,128,140,1.4285714285714286,0.781538527925405
42,200011,2800,128,262,0.7633587786259542,0.8416589689817388
42,200012,2504,128,232,0.43103448275862066,0.8204677134157026
42,200013,1176,64,141,1.4184397163120568,0.815968307193612
42,200014,3252,256,277,1.0830324909747293,0.8252113162878615
42,200015,1524,128,151,0.6622516556291391,0.8228402501459956
42,200016,564,64,76,9.210526315789474,0.8303940576792879
42,200017,4960,512,341,0.0,0.8290610434328969
42,200018,972,64,114,0.8771929824561403,0.767952625140317
42,200019,1848,128,182,0.5494505494505495,0.8089961142408888
42,200020,992,64,127,0.7874015748031497,0.8215152107738981
42,200021,640,64,89,0.0,0.8132109259582967
42,200022,1792,128,184,0.5434782608695652,0.8293484586888233
42,200023,2448,128,228,0.43859649122807015,0.8278848907700338
42,200024,1432,128,153,0.0,0.8333361402869801
42,200025,1928,128,186,0.0,0.8105390753410089
42,200026,1292,128,139,0.7194244604316546,0.8091150122896469
42,200027,2464,256,213,0.4694835680751174,0.8415699668609355
42,200028,1068,64,127,12.598425196850394,0.7983858220025829
42,200029,1192,64,144,0.6944444444444444,0.8165961199580422
42,200030,3580,256,298,3.6912751677852347,0.8403557661522011
42,200031,2076,128,195,0.5128205128205128,0.8163917061389573
42,200032,2292,256,188,1.5957446808510638,0.8156330224700198
42,200033,1048,128,112,5.357142857142857,0.7819051066257153
42,200034,2952,256,253,0.3952569169960474,0.8223908343439466
42,200035,1776,128,177,3.389830508474576,0.8312785983289575
42,200036,2276,128,210,0.0,0.8306588078677943
42,200037,1520,128,159,1.2578616352201257,0.8563882824209463
42,200038,4176,256,320,0.9375,0.7995964376224667
42,200039,1384,128,146,0.684931506849315,0.8263246207241371
42,200040,1500,64,166,0.6024096385542169,0.8200256637383931
42,200041,1856,128,187,0.5347593582887701,0.8324404053382495
42,200042,428,32,69,0.0,0.7206310187479855
42,200043,1212,64,135,2.2222222222222223,0.832878813402296
42,200044,2504,256,217,0.4608294930875576,0.8255733789763664
42,200045,1180,128,127,0.7874015748031497,0.7826347669203374
42,200046,1504,128,157,4.45859872611465,0.8727851591033483
42,200047,1276,128,135,0.0,0.8407445162860036
42,200048,1460,128,153,0.6535947712418301,0.8275405953039893
42,200049,2456,256,208,0.4807692307692308,0.8086211381277658
42,200050,2864,256,247,2.0242914979757085,0.8649517031564132
42,200051,1508,128,160,1.25,0.8083582283789086
42,200052,2756,128,252,0.3968253968253968,0.8290794146436912
42,200053,1372,128,140,7.857142857142857,0.7867205953898543
42,200054,1140,128,123,0.0,0.8040832163906139
42,200055,3960,256,324,0.6172839506172839,0.8401648677631318
42,200056,664,64,92,2.1739130434782608,0.7507558951486561
42,200057,2004,128,190,4.7368421052631575,0.8108344621738713
42,200058,652,64,85,24.705882352941178,0.7705392481609465
42,200059,1940,128,200,3.0,0.8066108332241727
42,200060,3504,256,289,1.7301038062283738,0.8462620377801774
42,200061,1152,64,133,1.5037593984962405,0.8250373558529537
42,200062,980,64,115,3.4782608695652173,0.8173999808647713
42,200063,2876,256,249,3.21285140562249,0.8673897466192565
42,200064,1716,128,174,2.2988505747126435,0.8329270658050427
42,200065,840,64,101,0.0,0.7892947415587558
42,200066,1608,128,170,0.0,0.8342867881003629
42,200067,1372,64,151,0.0,0.7918533633784773
42,200068,2468,128,235,0.0,0.8491633328822328
42,200069,1224,128,123,2.4390243902439024,0.8273320508130181
42,200070,1564,128,156,8.333333333333334,0.806074832439441
42,200071,1096,64,131,9.16030534351145,0.8217786761538164
42,200072,812,64,110,3.6363636363636362,0.8373318863379529
42,200073,1168,64,139,4.316546762589928,0.8243933620677933
42,200074,2808,256,230,8.695652173913043,0.8357814359525001
42,200075,1432,128,147,2.7210884353741496,0.8181287777417319
42,200076,532,64,70,1.4285714285714286,0.8289721006735358
42,200077,1548,128,159,5.031446540880503,0.8018336378573164
42,200078,1784,128,176,1.7045454545454546,0.8339298176747941
42,200079,1928,128,196,0.0,0.8217949442059763
42,200080,1788,128,182,0.0,0.8195664998210405
42,200081,2520,256,211,2.843601895734597,0.8221446886028422
42,200082,3564,256,298,0.33557046979865773,0.8473582105402981
42,200083,1584,128,168,0.0,0.8166431908159717
42,200084,704,64,94,5.319148936170213,0.8021361917757616
42,200085,2472,128,229,0.0,0.8473135594633224
42,200086,2368,128,217,3.225806451612903,0.8340879745859006
42,200087,316,32,58,62.06896551724138,0.7936770180455757
42,200088,2460,128,227,0.44052863436123346,0.8438570796022941
42,200089,1612,128,167,0.0,0.8145334253165897
42,200090,336,32,62,4.838709677419355,0.748896960886379
42,200091,868,64,110,1.8181818181818181,0.7789530246661583
42,200092,3328,256,283,2.8268551236749118,0.8480872839991898
42,200093,1420,128,155,0.0,0.8237537368740872
42,200094,2576,128,240,0.8333333333333334,0.8263921513494769
42,200095,1016,64,123,0.8130081300813008,0.830688707444807
42,200096,2264,128,216,0.0,0.856244930515951
42,200097,1740,128,175,1.7142857142857142,0.8070328206748121
42,200098,2364,128,229,3.056768558951965,0.8283277685274745
42,200099,2772,256,241,5.809128630705394,0.8164420895689997
43,200000,1172,128,126,0.0,0.769067141762014
43,200001,524,32,86,11.627906976744185,0.7836125250896708
43,200002,1132,128,121,14.049586776859504,0.8075448544393482
