agent,checkpoint,checkpoint_sha256,training_seed,training_steps,training_seconds,evaluation_mode,corner_filter,evaluation_condition_changed,seed,score,max_tile,moves,corner_occupancy,snake_quality
Random,,,,,,random_ties,False,False,200000,1104,128,120,1.6666666666666667,0.7085189343400358
Random,,,,,,random_ties,False,False,200001,1224,128,129,1.550387596899225,0.6654763883178353
Random,,,,,,random_ties,False,False,200002,1136,128,123,0.8130081300813008,0.7085828075890014
Random,,,,,,random_ties,False,False,200003,888,64,108,1.851851851851852,0.7009991335289466
Random,,,,,,random_ties,False,False,200004,728,64,96,0.0,0.6775488454277369
Random,,,,,,random_ties,False,False,200005,888,64,108,0.0,0.6979826558204424
Random,,,,,,random_ties,False,False,200006,684,64,89,0.0,0.6860824293430074
Random,,,,,,random_ties,False,False,200007,1288,128,128,0.0,0.6923916993488741
Random,,,,,,random_ties,False,False,200008,660,64,88,2.272727272727273,0.6855952109169067
Random,,,,,,random_ties,False,False,200009,600,64,84,4.761904761904762,0.6626714558237028
Random,,,,,,random_ties,False,False,200010,676,64,92,0.0,0.6670005706735701
Random,,,,,,random_ties,False,False,200011,2608,256,227,0.0,0.7057374200915109
Random,,,,,,random_ties,False,False,200012,672,64,93,3.225806451612903,0.679225446744641
Random,,,,,,random_ties,False,False,200013,1332,128,139,1.4388489208633093,0.6876545070395583
Random,,,,,,random_ties,False,False,200014,2128,256,183,4.371584699453552,0.6716306521519837
Random,,,,,,random_ties,False,False,200015,1064,128,115,3.4782608695652173,0.7007096482945409
Random,,,,,,random_ties,False,False,200016,1144,128,120,28.333333333333332,0.7090418536024827
Random,,,,,,random_ties,False,False,200017,908,128,96,3.125,0.6655113750178306
Random,,,,,,random_ties,False,False,200018,944,128,102,0.9803921568627452,0.6806433739668843
Random,,,,,,random_ties,False,False,200019,652,64,89,7.865168539325842,0.6906371452930976
Random,,,,,,random_ties,False,False,200020,1500,128,158,1.8987341772151896,0.7092731216386868
Random,,,,,,random_ties,False,False,200021,744,64,96,4.166666666666667,0.689962026415026
Random,,,,,,random_ties,False,False,200022,836,64,103,1.941747572815534,0.6849809963613815
Random,,,,,,random_ties,False,False,200023,1380,128,142,0.704225352112676,0.6756027246759403
Random,,,,,,random_ties,False,False,200024,1316,128,136,1.4705882352941178,0.6548348206750138
Random,,,,,,random_ties,False,False,200025,608,64,86,3.488372093023256,0.7083172148393799
Random,,,,,,random_ties,False,False,200026,1268,128,128,0.78125,0.6750371253845253
Random,,,,,,random_ties,False,False,200027,332,32,62,4.838709677419355,0.6774992170172938
Random,,,,,,random_ties,False,False,200028,1172,128,126,0.0,0.6706713095818632
Random,,,,,,random_ties,False,False,200029,628,64,87,3.4482758620689653,0.6970970370465769
Random,,,,,,random_ties,False,False,200030,2332,256,197,0.0,0.690729699047081
Random,,,,,,random_ties,False,False,200031,840,64,110,0.9090909090909092,0.663110711311777
Random,,,,,,random_ties,False,False,200032,1320,128,136,1.4705882352941178,0.6701398543714149
Random,,,,,,random_ties,False,False,200033,644,64,84,0.0,0.6815906307131836
Random,,,,,,random_ties,False,False,200034,2600,256,216,0.0,0.6717637142418602
Random,,,,,,random_ties,False,False,200035,1692,128,169,2.366863905325444,0.6958469078468401
Random,,,,,,random_ties,False,False,200036,828,64,104,1.9230769230769231,0.7089245146193373
Random,,,,,,random_ties,False,False,200037,860,64,102,0.0,0.6845961096770459
Random,,,,,,random_ties,False,False,200038,784,64,105,5.714285714285714,0.6836197167560204
Random,,,,,,random_ties,False,False,200039,368,32,63,4.761904761904762,0.6553052351093446
Random,,,,,,random_ties,False,False,200040,1152,128,123,0.0,0.6775387970119675
Random,,,,,,random_ties,False,False,200041,1352,128,140,0.0,0.6978707921376611
Random,,,,,,random_ties,False,False,200042,700,64,92,0.0,0.7191538248561177
Random,,,,,,random_ties,False,False,200043,1464,128,141,1.4184397163120568,0.6838738895571512
Random,,,,,,random_ties,False,False,200044,736,64,91,0.0,0.6796233309656313
Random,,,,,,random_ties,False,False,200045,1072,128,117,3.418803418803418,0.7134049016565364
Random,,,,,,random_ties,False,False,200046,1548,128,159,0.0,0.697497577801418
Random,,,,,,random_ties,False,False,200047,1160,128,124,8.064516129032258,0.6987272571671085
Random,,,,,,random_ties,False,False,200048,1160,128,118,0.0,0.6822453943091843
Random,,,,,,random_ties,False,False,200049,508,64,74,1.351351351351351,0.658393525296135
Random,,,,,,random_ties,False,False,200050,580,64,79,5.063291139240507,0.6831829518615143
Random,,,,,,random_ties,False,False,200051,1032,128,112,4.464285714285714,0.6759646841390232
Random,,,,,,random_ties,False,False,200052,1376,128,141,0.0,0.680643390686265
Random,,,,,,random_ties,False,False,200053,948,64,111,0.0,0.676873060879044
Random,,,,,,random_ties,False,False,200054,1996,256,166,7.831325301204819,0.6937221684717092
Random,,,,,,random_ties,False,False,200055,1768,128,165,3.636363636363636,0.6947046041940074
Random,,,,,,random_ties,False,False,200056,1164,128,128,6.25,0.6670241756091002
Random,,,,,,random_ties,False,False,200057,672,64,91,0.0,0.663597396944758
Random,,,,,,random_ties,False,False,200058,768,64,100,6.0,0.6775188057764114
Random,,,,,,random_ties,False,False,200059,532,32,82,0.0,0.6702729296107007
Random,,,,,,random_ties,False,False,200060,1372,128,137,5.109489051094891,0.6822784196254983
Random,,,,,,random_ties,False,False,200061,1724,128,161,1.8633540372670807,0.7241574728860743
Random,,,,,,random_ties,False,False,200062,416,32,69,5.797101449275362,0.6866482522474543
Random,,,,,,random_ties,False,False,200063,624,64,82,0.0,0.7025857431839042
Random,,,,,,random_ties,False,False,200064,1008,128,111,2.702702702702702,0.6440911660621211
Random,,,,,,random_ties,False,False,200065,1608,128,161,2.484472049689441,0.695516251848076
Random,,,,,,random_ties,False,False,200066,1336,128,139,2.8776978417266186,0.6869177855322117
Random,,,,,,random_ties,False,False,200067,732,64,96,2.0833333333333335,0.6960776007178038
Random,,,,,,random_ties,False,False,200068,1128,128,122,0.819672131147541,0.6885106989717447
Random,,,,,,random_ties,False,False,200069,760,64,93,1.075268817204301,0.7088593985516216
Random,,,,,,random_ties,False,False,200070,700,64,90,4.444444444444445,0.7237149294451528
Random,,,,,,random_ties,False,False,200071,344,32,64,3.125,0.702739469062631
Random,,,,,,random_ties,False,False,200072,708,64,95,9.473684210526317,0.7083500898733265
Random,,,,,,random_ties,False,False,200073,1300,128,134,3.7313432835820897,0.6844082622953709
Random,,,,,,random_ties,False,False,200074,880,64,106,0.0,0.685746904634898
Random,,,,,,random_ties,False,False,200075,1244,128,129,3.875968992248062,0.6854475807784206
Random,,,,,,random_ties,False,False,200076,1200,128,120,4.166666666666667,0.6960687291235441
Random,,,,,,random_ties,False,False,200077,1300,128,132,0.0,0.6668255303279167
Random,,,,,,random_ties,False,False,200078,2176,256,175,1.7142857142857142,0.7030035489130557
Random,,,,,,random_ties,False,False,200079,588,64,82,0.0,0.6608379650082479
Random,,,,,,random_ties,False,False,200080,1040,128,111,0.9009009009009008,0.6702793907024006
Random,,,,,,random_ties,False,False,200081,404,32,67,5.970149253731344,0.730103135228311
Random,,,,,,random_ties,False,False,200082,1308,128,133,0.7518796992481203,0.6648383340394649
Random,,,,,,random_ties,False,False,200083,1236,128,132,5.303030303030303,0.6868306071494503
Random,,,,,,random_ties,False,False,200084,1032,128,109,3.669724770642202,0.6777060962897371
Random,,,,,,random_ties,False,False,200085,616,64,84,0.0,0.6970665975819317
Random,,,,,,random_ties,False,False,200086,1188,128,120,0.0,0.6839321490144848
Random,,,,,,random_ties,False,False,200087,580,64,82,2.4390243902439024,0.681707612838378
Random,,,,,,random_ties,False,False,200088,2368,256,198,0.0,0.679334255686807
Random,,,,,,random_ties,False,False,200089,1376,128,144,0.6944444444444444,0.6816547029646437
Random,,,,,,random_ties,False,False,200090,2216,256,194,0.0,0.7017684478847105
Random,,,,,,random_ties,False,False,200091,1304,128,133,1.5037593984962403,0.7016118932844054
