agent,checkpoint,checkpoint_sha256,training_seed,training_steps,training_seconds,evaluation_mode,corner_filter,evaluation_condition_changed,games,average_score,median_score,score_std,score_q25,score_q75,average_moves,corner_occupancy,snake_quality,max_tile_distribution,reach_128_pct,reach_256_pct,reach_512_pct,reach_1024_pct,reach_2048_pct,selected_checkpoint_steps,method
experiments/ppo_verification/matrix8192/dqn_strategy/seed42/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed42/checkpoints/best.pt,e984ff1b71baf41190c4a8af844966a22c8dfa4d078acd39be6c736aa71991ec,42,8192,3.954392540967092,greedy_q,True,False,100,1723.6,1408.0,948.9802714258898,1022.0,2437.0,163.97,88.32095232585887,0.799393432394854,"{""32"": 1, ""64"": 25, ""128"": 47, ""256"": 26, ""512"": 1}",74.0,27.0,1.0,0.0,0.0,4096.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_strategy/seed42/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed42/checkpoints/best.pt,e984ff1b71baf41190c4a8af844966a22c8dfa4d078acd39be6c736aa71991ec,42,8192,3.954392540967092,greedy_q,False,True,100,1632.44,1466.0,798.0381793859087,1073.0,2259.0,159.2,27.87601814926265,0.7537258049341651,"{""32"": 4, ""64"": 21, ""128"": 50, ""256"": 25}",75.0,25.0,0.0,0.0,0.0,4096.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_strategy/seed43/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed43/checkpoints/best.pt,f9843bc614af910afb14a5392bf214e112f5b316579dbe1bd08c3c17091d0a21,43,8192,3.953117416938767,greedy_q,True,False,100,2336.6,1986.0,1392.6457778725585,1398.0,3129.0,205.57,82.48910259234762,0.8055701553158454,"{""16"": 1, ""32"": 2, ""64"": 11, ""128"": 40, ""256"": 38, ""512"": 8}",86.0,46.0,8.0,0.0,0.0,8192.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_strategy/seed43/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed43/checkpoints/best.pt,f9843bc614af910afb14a5392bf214e112f5b316579dbe1bd08c3c17091d0a21,43,8192,3.953117416938767,greedy_q,False,True,100,1963.92,1654.0,1134.0110601067545,1200.0,2733.0,184.04,36.70710907776669,0.7515775033629857,"{""16"": 1, ""32"": 4, ""64"": 17, ""128"": 44, ""256"": 32, ""512"": 2}",78.0,34.0,2.0,0.0,0.0,8192.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_strategy/seed44/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed44/checkpoints/best.pt,0b834aa8575e16b07c402938901884f596dd83c9327bfbab3ab3ab909fda3359,44,8192,3.917648874921724,greedy_q,True,False,100,1596.04,1368.0,1144.0204130410195,824.0,1885.0,155.2,79.70521213092182,0.8229068500566289,"{""32"": 9, ""64"": 29, ""128"": 44, ""256"": 14, ""512"": 4}",62.0,18.0,4.0,0.0,0.0,4096.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_strategy/seed44/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_strategy/seed44/checkpoints/best.pt,0b834aa8575e16b07c402938901884f596dd83c9327bfbab3ab3ab909fda3359,44,8192,3.917648874921724,greedy_q,False,True,100,1734.04,1508.0,1034.3800751164824,1019.0,2265.0,165.08,31.942776890571555,0.7978199702584395,"{""32"": 5, ""64"": 23, ""128"": 47, ""256"": 22, ""512"": 3}",72.0,25.0,3.0,0.0,0.0,4096.0,dqn_strategy
experiments/ppo_verification/matrix8192/dqn_vanilla/seed42/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_vanilla/seed42/checkpoints/best.pt,432fd6ef646408660d91a2f4374a8f2a168fb55a3d528480bd9b171481e6df73,42,8192,3.465133208082989,greedy_q,False,False,100,1430.4,1196.0,946.0552869999756,755.0,1543.0,144.67,9.573457632619371,0.7619484566122223,"{""32"": 3, ""64"": 43, ""128"": 36, ""256"": 17, ""512"": 1}",54.0,18.0,1.0,0.0,0.0,8192.0,dqn_vanilla
experiments/ppo_verification/matrix8192/dqn_vanilla/seed43/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_vanilla/seed43/checkpoints/best.pt,b5f6dd1113703de1d415b77f74241a2cd94b94f496682016815fb1ac12c502ba,43,8192,3.504867000039667,greedy_q,False,False,100,1936.28,1558.0,1273.2306168312025,973.0,2706.0,179.97,2.125925730941313,0.7076480972501409,"{""16"": 1, ""32"": 6, ""64"": 23, ""128"": 37, ""256"": 30, ""512"": 3}",70.0,33.0,3.0,0.0,0.0,4096.0,dqn_vanilla
experiments/ppo_verification/matrix8192/dqn_vanilla/seed44/checkpoints/best.pt,experiments/ppo_verification/matrix8192/dqn_vanilla/seed44/checkpoints/best.pt,b959c7137fe2bd30534705295cef088ac0d1887687c5062f5f4cc0df5571ccb7,44,8192,3.4854906669352204,greedy_q,False,False,100,1031.56,1028.0,465.2532344016666,654.0,1324.0,115.7,2.918412894993903,0.6891256529419398,"{""32"": 15, ""64"": 36, ""128"": 46, ""256"": 3}",49.0,3.0,0.0,0.0,0.0,4096.0,dqn_vanilla
experiments/ppo_verification/matrix8192/ppo_potential_corner0/seed42/checkpoints/best.pt,experiments/ppo_verification/matrix8192/ppo_potential_corner0/seed42/checkpoints/best.pt,749d8ff04af27f581f98b8ab4724e4073cb4860e9bec8ee3a96570e4ad8bab0e,42,8192,1.560611082939431,deterministic,False,False,100,2224.52,1970.0,1164.4443811396388,1436.0,2778.0,204.45,0.7209667067847733,0.6388223732185386,"{""32"": 2, ""64"": 13, ""128"": 50, ""256"": 32, ""512"": 3}",85.0,35.0,3.0,0.0,0.0,8192.0,ppo_potential_corner0
