agent,game,seed,score,max_tile,moves
Random,1,10000,1340,128,141
Random,2,10001,912,64,110
Random,3,10002,1080,128,118
Random,4,10003,1208,128,121
Random,5,10004,1372,128,144
Random,6,10005,1112,128,120
Random,7,10006,1348,128,139
Random,8,10007,188,16,44
Random,9,10008,608,64,83
Random,10,10009,1292,128,135
Random,11,10010,804,64,96
Random,12,10011,440,32,71
Random,13,10012,1456,128,143
Random,14,10013,2284,256,189
Random,15,10014,476,64,70
Random,16,10015,1308,128,133
Random,17,10016,1880,128,179
Random,18,10017,684,64,91
Random,19,10018,1156,128,123
Random,20,10019,672,64,94
Random,21,10020,660,64,90
Random,22,10021,560,64,79
Random,23,10022,252,32,48
Random,24,10023,708,64,95
Random,25,10024,1240,128,128
Random,26,10025,1288,128,133
Random,27,10026,1036,128,110
Random,28,10027,320,32,58
Random,29,10028,788,64,105
Random,30,10029,468,64,68
Random,31,10030,924,64,112
Random,32,10031,1352,128,134
Random,33,10032,1524,128,158
Random,34,10033,1432,128,148
Random,35,10034,1036,128,114
Random,36,10035,1140,128,123
Random,37,10036,452,32,74
Random,38,10037,2864,256,229
Random,39,10038,1528,128,159
Random,40,10039,1468,128,152
Random,41,10040,1716,128,169
Random,42,10041,592,64,82
Random,43,10042,1380,128,140
Random,44,10043,876,64,105
Random,45,10044,2352,256,200
Random,46,10045,664,64,88
Random,47,10046,1424,128,147
Random,48,10047,1160,128,126
Random,49,10048,1044,128,112
Random,50,10049,216,32,44
Random,51,10050,420,32,68
Random,52,10051,344,32,64
Random,53,10052,1012,64,122
Random,54,10053,1356,128,141
Random,55,10054,1272,128,136
Random,56,10055,672,64,81
Random,57,10056,692,64,91
Random,58,10057,708,64,95
Random,59,10058,884,64,107
Random,60,10059,1120,128,119
Random,61,10060,2824,256,229
Random,62,10061,1412,128,146
Random,63,10062,1356,128,141
Random,64,10063,1464,128,155
Random,65,10064,1156,128,122
Random,66,10065,568,64,77
Random,67,10066,396,32,66
Random,68,10067,868,64,104
Random,69,10068,1072,128,114
Random,70,10069,772,64,101
Random,71,10070,752,64,97
Random,72,10071,2220,256,185
Random,73,10072,424,32,69
Random,74,10073,720,64,87
Random,75,10074,684,64,90
Random,76,10075,1372,128,138
Random,77,10076,1716,128,172
Random,78,10077,672,64,93
Random,79,10078,404,32,67
Random,80,10079,1024,64,120
Random,81,10080,2356,256,201
Random,82,10081,1388,128,147
Random,83,10082,668,64,89
Random,84,10083,1568,128,154
Random,85,10084,704,64,94
Random,86,10085,1084,64,126
Random,87,10086,1236,128,128
Random,88,10087,556,64,78
Random,89,10088,2148,256,179
Random,90,10089,1436,128,149
Random,91,10090,628,64,84
Random,92,10091,2316,256,194
Random,93,10092,396,32,69
Random,94,10093,1132,128,121
Random,95,10094,1380,128,139
Random,96,10095,680,64,92
Random,97,10096,1700,128,171
Random,98,10097,1424,128,149
Random,99,10098,1660,128,164
Random,100,10099,1264,128,138
Greedy,1,10000,2456,256,212
Greedy,2,10001,3888,256,311
Greedy,3,10002,1464,128,148
Greedy,4,10003,980,64,115
Greedy,5,10004,1188,128,129
Greedy,6,10005,1268,128,129
Greedy,7,10006,1068,128,116
Greedy,8,10007,1308,128,137
Greedy,9,10008,1144,128,124
Greedy,10,10009,1684,128,168
Greedy,11,10010,888,64,107
Greedy,12,10011,1336,128,137
Greedy,13,10012,1780,128,181
Greedy,14,10013,3076,256,254
Greedy,15,10014,1468,128,152
Greedy,16,10015,2776,256,228
Greedy,17,10016,844,64,100
Greedy,18,10017,580,64,80
Greedy,19,10018,1788,128,179
Greedy,20,10019,1712,128,177
Greedy,21,10020,1240,128,127
Greedy,22,10021,2352,256,197
Greedy,23,10022,4656,512,324
Greedy,24,10023,1320,128,136
Greedy,25,10024,888,64,107
Greedy,26,10025,5064,512,346
Greedy,27,10026,1444,128,149
Greedy,28,10027,2708,256,225
Greedy,29,10028,1476,128,153
Greedy,30,10029,1424,128,145
Greedy,31,10030,1788,128,182
Greedy,32,10031,2176,256,179
Greedy,33,10032,2160,256,183
Greedy,34,10033,1260,128,130
Greedy,35,10034,1344,128,141
Greedy,36,10035,1424,128,146
Greedy,37,10036,2816,256,234
Greedy,38,10037,3160,256,263
Greedy,39,10038,4492,512,301
Greedy,40,10039,1020,128,109
Greedy,41,10040,1424,128,145
Greedy,42,10041,1824,128,175
Greedy,43,10042,1480,128,148
Greedy,44,10043,2352,256,198
Greedy,45,10044,1388,128,142
Greedy,46,10045,1220,128,123
Greedy,47,10046,1576,128,164
Greedy,48,10047,1184,128,129
Greedy,49,10048,2944,256,247
Greedy,50,10049,3492,256,292
Greedy,51,10050,1512,128,152
Greedy,52,10051,2408,256,203
Greedy,53,10052,1512,128,156
Greedy,54,10053,1320,128,137
Greedy,55,10054,1340,128,138
Greedy,56,10055,3084,256,252
Greedy,57,10056,2996,256,245
Greedy,58,10057,1096,64,127
Greedy,59,10058,2376,256,197
Greedy,60,10059,2124,256,180
Greedy,61,10060,2312,256,189
Greedy,62,10061,1436,128,148
Greedy,63,10062,3244,256,274
Greedy,64,10063,596,64,83
Greedy,65,10064,1404,128,143
Greedy,66,10065,2392,256,202
Greedy,67,10066,2372,256,202
Greedy,68,10067,2024,256,168
Greedy,69,10068,3056,256,249
Greedy,70,10069,2156,128,200
Greedy,71,10070,2996,256,239
Greedy,72,10071,1616,128,172
Greedy,73,10072,1364,128,142
Greedy,74,10073,2364,256,197
Greedy,75,10074,1632,128,165
Greedy,76,10075,1356,128,140
Greedy,77,10076,1288,128,132
Greedy,78,10077,3560,256,284
Greedy,79,10078,2236,128,214
Greedy,80,10079,1392,128,139
Greedy,81,10080,1352,128,143
Greedy,82,10081,1440,128,150
Greedy,83,10082,3068,256,252
Greedy,84,10083,1480,128,151
Greedy,85,10084,1152,128,126
Greedy,86,10085,2504,256,219
Greedy,87,10086,940,64,115
Greedy,88,10087,780,64,102
Greedy,89,10088,3112,256,251
Greedy,90,10089,2032,256,169
Greedy,91,10090,2344,256,198
Greedy,92,10091,1556,128,162
Greedy,93,10092,1512,128,161
Greedy,94,10093,1288,128,132
Greedy,95,10094,1208,128,121
Greedy,96,10095,1284,128,133
Greedy,97,10096,3036,256,250
Greedy,98,10097,3228,256,270
Greedy,99,10098,1152,128,122
Greedy,100,10099,4560,512,311
DQN,1,10000,1656,128,170
DQN,2,10001,1244,128,132
DQN,3,10002,1540,128,164
DQN,4,10003,2104,256,176
DQN,5,10004,2528,256,217
DQN,6,10005,1384,128,150
DQN,7,10006,1124,128,120
DQN,8,10007,1392,128,148
DQN,9,10008,792,64,103
DQN,10,10009,1600,128,168
DQN,11,10010,888,64,114
DQN,12,10011,1464,128,151
DQN,13,10012,640,64,89
DQN,14,10013,884,64,107
DQN,15,10014,1408,128,148
DQN,16,10015,404,32,67
DQN,17,10016,956,64,112
DQN,18,10017,2940,256,247
DQN,19,10018,1284,128,134
DQN,20,10019,640,64,89
DQN,21,10020,812,64,105
DQN,22,10021,828,64,108
DQN,23,10022,2052,128,200
DQN,24,10023,1704,128,173
DQN,25,10024,1468,128,154
DQN,26,10025,696,64,84
DQN,27,10026,1432,128,147
DQN,28,10027,776,64,99
DQN,29,10028,740,64,92
DQN,30,10029,1120,128,118
DQN,31,10030,976,128,106
DQN,32,10031,452,32,69
DQN,33,10032,1184,128,129
DQN,34,10033,1108,128,122
DQN,35,10034,2244,256,194
DQN,36,10035,1480,128,148
DQN,37,10036,1384,128,147
DQN,38,10037,580,64,80
DQN,39,10038,1296,128,134
DQN,40,10039,1024,64,118
DQN,41,10040,684,64,89
DQN,42,10041,1300,128,137
DQN,43,10042,800,64,102
DQN,44,10043,1520,128,157
DQN,45,10044,1056,128,115
DQN,46,10045,1100,128,114
DQN,47,10046,1484,128,155
DQN,48,10047,1072,64,126
DQN,49,10048,1420,128,146
DQN,50,10049,1152,128,125
DQN,51,10050,1044,128,114
DQN,52,10051,928,64,113
DQN,53,10052,784,64,102
DQN,54,10053,640,64,89
DQN,55,10054,1132,128,126
DQN,56,10055,596,64,82
DQN,57,10056,232,16,49
DQN,58,10057,1356,128,141
