episode,score,total_reward,max_tile,moves,epsilon,seed,strategy,game_reward,strategy_reward,training_reward,corner_occupancy,snake_score,empty_cells
1,444,613.7776669416127,32,73,0.9993065,42,True,444,169.7776669416126,613.7776669416127,100.0,0.783724369853451,6.191780821917808
2,884,1058.0662847376425,128,94,0.9984135,42,True,884,174.0662847376425,1058.0662847376425,96.80851063829788,0.7939909563473406,6.8936170212765955
3,692,687.8885388713443,64,91,0.997549,42,True,692,-4.111461128655506,687.8885388713443,50.54945054945055,0.756612800797682,4.131868131868132
4,1232,1224.7506414108054,128,124,0.996371,42,True,1232,-7.2493585891946974,1224.7506414108054,30.64516129032258,0.7116276132549757,3.870967741935484
5,444,613.3766167201029,32,68,0.995725,42,True,444,169.37661672010296,613.3766167201029,91.17647058823529,0.7813824216140757,5.735294117647059
6,1344,1338.559706192424,128,140,0.994395,42,True,1344,-5.440293807574914,1338.559706192424,52.857142857142854,0.722636561282077,4.642857142857143
7,656,603.3378639317492,64,84,0.993597,42,True,656,-52.66213606825067,603.3378639317492,7.142857142857143,0.6433413892826497,6.571428571428571
8,1420,1411.7479546517059,128,148,0.992191,42,True,1420,-8.252045348293603,1411.7479546517059,31.08108108108108,0.722193547093848,3.2094594594594597
9,604,803.2281673941802,64,81,0.9914215,42,True,604,199.22816739418022,803.2281673941802,66.66666666666667,0.7007911404126652,6.7407407407407405
10,1400,1350.5487473987323,128,143,0.990063,42,True,1400,-49.451252601267356,1350.5487473987323,72.72727272727273,0.7878303440911997,4.027972027972028
11,476,649.2497105045495,32,73,0.9893695,42,True,476,173.24971050454923,649.2497105045495,89.04109589041096,0.7817802186571569,6.027397260273973
12,844,835.7265818636653,64,102,0.9884005,42,True,844,-8.27341813633408,835.7265818636653,72.54901960784314,0.8004379533614016,4.852941176470588
13,2060,2293.7656870173932,128,191,0.986586,42,True,2060,233.76568701739194,2293.7656870173932,98.95287958115183,0.8247177035330191,3.816753926701571
14,604,805.0977362391252,64,84,0.985788,42,True,604,201.0977362391248,805.0977362391252,100.0,0.8338994578865588,5.464285714285714
15,384,383.28703764320784,32,66,0.985161,42,True,384,-0.7129623567921435,383.28703764320784,0.0,0.6559237750676761,6.0606060606060606
16,656,648.4322787176249,64,88,0.984325,42,True,656,-7.567721282375061,648.4322787176249,44.31818181818182,0.7148977560959744,5.136363636363637
17,556,672.5025954764551,32,84,0.983527,42,True,556,116.5025954764553,672.5025954764551,97.61904761904762,0.7753566217794182,5.095238095238095
18,900,1099.9042692416526,64,111,0.9824725,42,True,900,199.9042692416525,1099.9042692416526,91.89189189189189,0.7580620163643597,5.576576576576577
19,712,711.9126314763787,64,95,0.98157,42,True,712,-0.08736852362108749,711.9126314763787,0.0,0.6863993060338512,4.105263157894737
20,732,734.0536672393289,64,90,0.980715,42,True,732,2.0536672393286626,734.0536672393289,0.0,0.6863663560713649,4.5
21,784,783.5710120829176,64,95,0.9798125,42,True,784,-0.42898791708236317,783.5710120829176,0.0,0.6644556409811359,5.4526315789473685
22,2584,2583.5753224138866,256,215,0.97777,42,True,2584,-0.4246775861130754,2583.5753224138866,0.0,0.6883408837615947,3.7069767441860466
23,1256,1252.633000265189,128,133,0.9765065,42,True,1256,-3.366999734811383,1252.633000265189,27.81954887218045,0.7297604881689098,4.43609022556391
24,376,325.91418933164664,32,62,0.9759175,42,True,376,-50.08581066835334,325.91418933164664,32.25806451612903,0.7617968734737955,5.709677419354839
25,1164,1163.2395375550952,128,118,0.9747965,42,True,1164,-0.7604624449047801,1163.2395375550952,0.0,0.6713873622895912,5.093220338983051
26,628,618.9172855375544,64,83,0.974008,42,True,628,-9.082714462446102,618.9172855375544,56.626506024096386,0.7699787677383495,7.891566265060241
27,732,721.6811970742585,64,97,0.9730865,42,True,732,-10.318802925741421,721.6811970742585,53.608247422680414,0.7261551985771401,4.134020618556701
28,1336,1337.6958711830648,128,139,0.971766,42,True,1336,1.6958711830648525,1337.6958711830648,0.0,0.6890487273565542,4.115107913669065
29,948,937.6775950523579,128,104,0.970778,42,True,948,-10.322404947642134,937.6775950523579,5.769230769230769,0.7189169693568568,4.163461538461538
30,1132,1133.0222734254992,128,121,0.9696285,42,True,1132,1.0222734254992325,1133.0222734254992,0.0,0.6606676365850732,5.297520661157025
31,628,813.6852546403022,64,87,0.968802,42,True,628,185.6852546403021,813.6852546403022,97.70114942528735,0.7902020409829607,6.0
32,864,856.878019916639,64,113,0.9677285,42,True,864,-7.121980083360871,856.878019916639,81.41592920353982,0.7767819344371739,4.1415929203539825
33,892,1093.3153473401248,64,109,0.966693,42,True,892,201.31534734012453,1093.3153473401248,97.24770642201835,0.7864004371251946,4.889908256880734
34,816,1016.8377280643832,64,101,0.9657335,42,True,816,200.83772806438316,1016.8377280643832,98.01980198019803,0.7790119825276669,6.089108910891089
35,788,987.0172193987424,64,98,0.9648025,42,True,788,199.01721939874236,987.0172193987424,82.65306122448979,0.7796896105077239,5.724489795918367
36,632,617.0218016026528,64,83,0.964014,42,True,632,-14.978198397347334,617.0218016026528,81.92771084337349,0.7581568857783475,5.445783132530121
37,520,690.2939649241846,32,79,0.9632635,42,True,520,170.2939649241846,690.2939649241846,100.0,0.7619472861141102,6.075949367088608
38,564,716.0456066608431,32,86,0.9624465,42,True,564,152.04560666084328,716.0456066608431,90.69767441860465,0.7722504450338046,4.6976744186046515
39,1468,1459.5026444410153,128,155,0.960974,42,True,1468,-8.497355558985461,1459.5026444410153,15.483870967741936,0.7131630092961508,3.7806451612903227
40,2156,2390.366134100296,128,203,0.9590455,42,True,2156,234.36613410029648,2390.366134100296,100.0,0.7897183686006691,4.945812807881773
41,736,719.821280122402,64,91,0.958181,42,True,736,-16.17871987759785,719.821280122402,45.05494505494506,0.7704148386530588,6.428571428571429
42,904,903.6161138813504,64,112,0.957117,42,True,904,-0.38388611864942845,903.6161138813504,0.0,0.6967194191836653,4.696428571428571
