agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
Random,1,10000,1340,128,141,4.25531914893617,0.6997951685393362
Random,2,10001,912,64,110,5.454545454545454,0.6743783955135887
Random,3,10002,1080,128,118,1.694915254237288,0.6850861787150447
Random,4,10003,1208,128,121,0.0,0.6884969484561213
Random,5,10004,1372,128,144,4.861111111111111,0.6790461603157254
Random,6,10005,1112,128,120,0.8333333333333334,0.6888547649368452
Random,7,10006,1348,128,139,6.474820143884892,0.6979158684091331
Random,8,10007,188,16,44,6.818181818181818,0.7034301727376612
Random,9,10008,608,64,83,3.6144578313253013,0.6664788514777665
Random,10,10009,1292,128,135,5.925925925925926,0.6859288558600541
Random,11,10010,804,64,96,13.541666666666666,0.6890333430215113
Random,12,10011,440,32,71,0.0,0.6835814415819353
Random,13,10012,1456,128,143,0.6993006993006993,0.6904294452344094
Random,14,10013,2284,256,189,4.232804232804233,0.7026163907759002
Random,15,10014,476,64,70,2.857142857142857,0.6426847146781365
Random,16,10015,1308,128,133,6.015037593984962,0.7092272036448811
Random,17,10016,1880,128,179,1.675977653631285,0.678705033843072
Random,18,10017,684,64,91,9.89010989010989,0.6922938990118014
Random,19,10018,1156,128,123,2.4390243902439024,0.7038820322212797
Random,20,10019,672,64,94,6.382978723404255,0.6994044560219618
Random,21,10020,660,64,90,2.2222222222222223,0.6818736085075983
Random,22,10021,560,64,79,1.2658227848101267,0.673655511748051
Random,23,10022,252,32,48,0.0,0.6581233471524994
Random,24,10023,708,64,95,3.1578947368421053,0.672038696372387
Random,25,10024,1240,128,128,0.78125,0.6973000061795458
Random,26,10025,1288,128,133,0.0,0.7005173413275099
Random,27,10026,1036,128,110,0.9090909090909091,0.6810336442123858
Random,28,10027,320,32,58,15.517241379310345,0.7472797123157735
Random,29,10028,788,64,105,3.8095238095238093,0.6874373600202558
Random,30,10029,468,64,68,1.4705882352941178,0.6902517411776754
Random,31,10030,924,64,112,9.821428571428571,0.7273399151339159
Random,32,10031,1352,128,134,2.985074626865672,0.6642692523504294
Random,33,10032,1524,128,158,1.2658227848101267,0.7091148175029658
Random,34,10033,1432,128,148,1.3513513513513513,0.7093505980300996
Random,35,10034,1036,128,114,1.7543859649122806,0.6795827173802094
Random,36,10035,1140,128,123,1.6260162601626016,0.6804317952846787
Random,37,10036,452,32,74,1.3513513513513513,0.6724889060945815
Random,38,10037,2864,256,229,0.0,0.6813523841511778
Random,39,10038,1528,128,159,1.8867924528301887,0.6773608644464321
Random,40,10039,1468,128,152,0.6578947368421053,0.6691837698316617
Random,41,10040,1716,128,169,0.591715976331361,0.685978382945305
Random,42,10041,592,64,82,2.4390243902439024,0.7042574485129776
Random,43,10042,1380,128,140,0.7142857142857143,0.6752553387138879
Random,44,10043,876,64,105,0.0,0.711155221928852
Random,45,10044,2352,256,200,2.5,0.7270118766332488
Random,46,10045,664,64,88,10.227272727272727,0.6775555421827268
Random,47,10046,1424,128,147,1.3605442176870748,0.6943452103401595
Random,48,10047,1160,128,126,0.7936507936507936,0.6761027017291371
Random,49,10048,1044,128,112,0.0,0.6721136829158206
Random,50,10049,216,32,44,6.818181818181818,0.662879008053032
Random,51,10050,420,32,68,2.9411764705882355,0.7078597605093381
Random,52,10051,344,32,64,0.0,0.7020575664267282
