episode,score,total_reward,max_tile,moves,epsilon,seed,strategy,game_reward,strategy_reward,training_reward,corner_occupancy,snake_score,empty_cells
1,444,613.7776669416127,32,73,0.9993065,42,True,444,169.7776669416126,613.7776669416127,100.0,0.783724369853451,6.191780821917808
2,884,1058.0662847376425,128,94,0.9984135,42,True,884,174.0662847376425,1058.0662847376425,96.80851063829788,0.7939909563473406,6.8936170212765955
3,692,687.8885388713443,64,91,0.997549,42,True,692,-4.111461128655506,687.8885388713443,50.54945054945055,0.756612800797682,4.131868131868132
4,1232,1224.7506414108054,128,124,0.996371,42,True,1232,-7.2493585891946974,1224.7506414108054,30.64516129032258,0.7116276132549757,3.870967741935484
5,444,613.3766167201029,32,68,0.995725,42,True,444,169.37661672010296,613.3766167201029,91.17647058823529,0.7813824216140757,5.735294117647059
6,1344,1338.559706192424,128,140,0.994395,42,True,1344,-5.440293807574914,1338.559706192424,52.857142857142854,0.722636561282077,4.642857142857143
7,656,603.3378639317492,64,84,0.993597,42,True,656,-52.66213606825067,603.3378639317492,7.142857142857143,0.6433413892826497,6.571428571428571
8,1420,1411.7479546517059,128,148,0.992191,42,True,1420,-8.252045348293603,1411.7479546517059,31.08108108108108,0.722193547093848,3.2094594594594597
9,604,803.2281673941802,64,81,0.9914215,42,True,604,199.22816739418022,803.2281673941802,66.66666666666667,0.7007911404126652,6.7407407407407405
10,1400,1350.5487473987323,128,143,0.990063,42,True,1400,-49.451252601267356,1350.5487473987323,72.72727272727273,0.7878303440911997,4.027972027972028
