episode,score,total_reward,max_tile,moves,epsilon,seed,strategy,game_reward,strategy_reward,training_reward,corner_occupancy,snake_score,empty_cells
1,876,876.0,64,106,0.998993,42,False,876,0.0,876.0,4.716981132075472,0.6869027628440557,5.4245283018867925
2,684,684.0,64,90,0.998138,42,False,684,0.0,684.0,4.444444444444445,0.6604158172920201,5.988888888888889
3,2388,2388.0,256,204,0.9962,42,False,2388,0.0,2388.0,1.4705882352941178,0.7239032211631355,3.4607843137254903
4,1052,1052.0,128,113,0.9951265,42,False,1052,0.0,1052.0,5.3097345132743365,0.6632123016592282,4.929203539823009
5,1428,1428.0,128,147,0.99373,42,False,1428,0.0,1428.0,5.442176870748299,0.672957886146584,5.149659863945578
6,684,684.0,64,89,0.9928845,42,False,684,0.0,684.0,0.0,0.6833851604502911,6.191011235955056
7,2368,2368.0,256,201,0.990975,42,False,2368,0.0,2368.0,0.9950248756218906,0.6745245248384698,4.537313432835821
8,596,596.0,32,90,0.99012,42,False,596,0.0,596.0,4.444444444444445,0.697468693813014,4.544444444444444
9,2048,2048.0,256,167,0.9885335,42,False,2048,0.0,2048.0,2.9940119760479043,0.7114537351625914,4.077844311377246
10,1752,1752.0,128,177,0.986852,42,False,1752,0.0,1752.0,1.1299435028248588,0.6824022175862305,4.406779661016949
